DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CURRNAME|ENAME|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672839| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|0|0|1|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672833| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1643878| male   | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|0|1|1|1|1|0|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1643872| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|0|0|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672837| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672827| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672832| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672838| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1643881| male   | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672836| female | kannada       | Pretest         | Anganwadi      |1|0|1|1|0|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|0|0|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672826| male   | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672835| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672840| female | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 dharwad  | Hubli-Dharwad urban | HDMC          |36620| Baraimam galli -1(Balajimath ) | kannada |1672829| male   | urdu          | Pretest         | Anganwadi      |1|0|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
